rnd-5_family-762	LTR	ERVL	NA	37
rnd-5_family-216	LTR	ERVK	NA	37
rnd-5_family-430	LTR	ERVL	NA	36
rnd-5_family-4451	Unknown	NA	NA	33
rnd-5_family-2833	LTR	ERV1	NA	32
rnd-5_family-2449	LTR	ERVL	NA	32
rnd-5_family-1794	Unknown	NA	NA	31
rnd-5_family-1092	LTR	ERVL	NA	31
rnd-5_family-1660	LINE	CR1	NA	30
rnd-5_family-19	LINE	CR1	NA	29
rnd-5_family-267	LTR	ERVK	NA	29
rnd-5_family-714	LTR	ERVL	NA	27
rnd-5_family-64	LTR	ERVL	NA	27
rnd-5_family-187	Unknown	NA	NA	26
rnd-5_family-634	LTR	ERVL	NA	26
rnd-5_family-677	LTR	ERV1	NA	26
rnd-5_family-6288	LTR	ERVK	NA	26
rnd-5_family-331	LTR	ERVL	NA	25
rnd-5_family-17	LTR	ERVL	NA	25
rnd-5_family-633	LTR	ERVL	NA	25
rnd-5_family-478	LTR	ERVL	NA	24
rnd-5_family-131	SINE	MIR	NA	24
rnd-5_family-474	LINE	CR1	NA	23
rnd-5_family-1169	LINE	CR1	NA	23
rnd-5_family-987	Unknown	NA	NA	23
rnd-5_family-177	Unknown	NA	NA	22
rnd-5_family-2008	Unknown	NA	NA	22
rnd-5_family-3584	LTR	ERVK	NA	21
rnd-5_family-1314	RC	Helitron	NA	21
rnd-5_family-952	Unknown	NA	NA	21
rnd-5_family-1956	Unknown	NA	NA	21
rnd-5_family-3	LINE	CR1	NA	21
rnd-5_family-882	LINE	CR1	NA	21
rnd-5_family-143	Unknown	NA	NA	21
rnd-5_family-186	LTR	ERV1	NA	20
rnd-5_family-558	SINE	MIR	NA	20
rnd-5_family-1505	RC	Helitron	NA	20
rnd-5_family-1271	LINE	CR1	NA	20
rnd-5_family-590	LINE	CR1	NA	19
rnd-5_family-6254	LTR	ERVK	NA	19
rnd-5_family-2302	LTR	ERVK	NA	19
rnd-5_family-511	Unknown	NA	NA	18
rnd-5_family-62	Unknown	NA	NA	18
rnd-5_family-265	Unknown	NA	NA	18
rnd-5_family-1875	Unknown	NA	NA	17
rnd-5_family-1609	Unknown	NA	NA	17
rnd-5_family-2272	LTR	ERV1	NA	17
rnd-5_family-2689	LTR	ERVK	NA	17
rnd-5_family-213	LTR	ERVK	NA	17
rnd-5_family-1381	LINE	CR1	NA	17
rnd-5_family-264	Unknown	NA	NA	17
rnd-5_family-130	Unknown	NA	NA	17
rnd-5_family-2385	LINE	CR1	NA	17
rnd-5_family-1386	LTR	ERV1	NA	17
rnd-5_family-27	LINE	CR1	NA	17
rnd-5_family-117	LTR	ERVL	NA	16
rnd-5_family-2268	LTR	ERV1	NA	16
rnd-5_family-4097	Unknown	NA	NA	16
rnd-5_family-678	Unknown	NA	NA	16
rnd-5_family-1280	Satellite	NA	NA	15
rnd-5_family-1764	Unknown	NA	NA	15
rnd-5_family-556	LTR	ERV1	NA	15
rnd-5_family-1190	Unknown	NA	NA	15
rnd-5_family-1387	Unknown	NA	NA	15
rnd-5_family-391	LTR	ERV1	NA	15
rnd-5_family-59	LINE	CR1	NA	15
rnd-5_family-683	LTR	ERVL	NA	15
rnd-5_family-3572	LTR	ERVK	NA	15
rnd-5_family-1891	Unknown	NA	NA	15
rnd-5_family-2135	LTR	ERV1	NA	15
rnd-6_family-1036	Unknown	NA	NA	107
rnd-6_family-1767	DNA	PIF	NA	86
rnd-6_family-4335	LTR	ERVK	NA	79
rnd-6_family-1016	Unknown	NA	NA	68
rnd-6_family-794	LINE	CR1	NA	68
rnd-6_family-2230	LINE	CR1	NA	66
rnd-6_family-1449	LTR	ERVL	NA	66
rnd-6_family-29023	LTR	ERV1	NA	55
rnd-6_family-2223	Unknown	NA	NA	53
rnd-6_family-197	LINE	CR1	NA	53
rnd-6_family-231	DNA	hAT	NA	53
rnd-6_family-955	Unknown	NA	NA	53
rnd-6_family-2490	Unknown	NA	NA	52
rnd-6_family-4773	Unknown	NA	NA	52
rnd-6_family-935	Unknown	NA	NA	51
rnd-6_family-1858	Unknown	NA	NA	51
rnd-6_family-4449	LTR	ERVL	NA	50
rnd-6_family-3106	LINE	CR1	NA	50
rnd-6_family-2559	LTR	ERVL	NA	49
rnd-6_family-2556	LTR	ERV1	NA	48
rnd-6_family-23493	LTR	ERV1	NA	47
rnd-6_family-2895	LTR	ERV	NA	47
rnd-6_family-186	LTR	ERVL	NA	47
rnd-6_family-2402	Unknown	NA	NA	45
rnd-6_family-2923	LINE	CR1	NA	45
rnd-6_family-70	SINE	tRNA	NA	45
rnd-6_family-111	Unknown	NA	NA	45
rnd-6_family-610	DNA	hAT	NA	45
rnd-6_family-49871	Unknown	NA	NA	45
rnd-6_family-2102	Unknown	NA	NA	43
rnd-6_family-2899	LTR	ERV1	NA	43
rnd-6_family-4016	LTR	ERV1	NA	42
rnd-6_family-4217	LTR	ERV1	NA	42
rnd-6_family-48850	Unknown	NA	NA	42
rnd-6_family-4287	Unknown	NA	NA	41
rnd-6_family-2682	Unknown	NA	NA	41
rnd-6_family-9004	LTR	ERVL	NA	41
rnd-6_family-283	LINE	CR1	NA	41
rnd-6_family-1871	rRNA	NA	NA	40
rnd-6_family-4334	LTR	ERVK	NA	40
rnd-6_family-28	Unknown	NA	NA	40
rnd-6_family-6658	LTR	ERVL	NA	39
rnd-6_family-682	Unknown	NA	NA	37
rnd-6_family-3433	LINE	CR1	NA	37
rnd-6_family-46444	Unknown	NA	NA	37
rnd-6_family-2558	LTR	ERV1	NA	35
rnd-6_family-4218	LTR	ERV1	NA	35
rnd-6_family-1475	LINE	CR1	NA	34
rnd-6_family-1269	LINE	CR1	NA	34
rnd-6_family-3775	LINE	CR1	NA	34
rnd-6_family-19739	LTR	ERVL	NA	33
rnd-6_family-2897	Unknown	NA	NA	33
rnd-6_family-995	Unknown	NA	NA	32
rnd-6_family-25828	Unknown	NA	NA	32
rnd-6_family-3863	DNA	NA	NA	32
rnd-6_family-4382	Unknown	NA	NA	31
rnd-6_family-3363	Unknown	NA	NA	30
rnd-6_family-4643	Unknown	NA	NA	30
rnd-6_family-9608	LTR	ERVK	NA	30
rnd-6_family-1162	LINE	CR1	NA	29
rnd-6_family-50529	LTR	ERVK	NA	29
rnd-6_family-120	LTR	ERVL	NA	29
rnd-6_family-14119	Unknown	NA	NA	29
rnd-6_family-3310	LTR	ERVL	NA	29
rnd-6_family-4844	LINE	CR1	NA	28
rnd-6_family-3341	LTR	ERVL	NA	28
rnd-6_family-4735	Unknown	NA	NA	28
rnd-6_family-3538	LINE	CR1	NA	28
rnd-6_family-9050	Unknown	NA	NA	27
rnd-6_family-3211	Unknown	NA	NA	27
rnd-6_family-2255	LTR	ERV1	NA	27
rnd-6_family-4732	LTR	ERVK	NA	27
rnd-6_family-3519	LINE	CR1	NA	27
rnd-6_family-10764	Unknown	NA	NA	27
rnd-6_family-4358	LINE	CR1	NA	27
rnd-6_family-634	LTR	ERVL	NA	27
rnd-6_family-5955	Unknown	NA	NA	26
rnd-6_family-10678	Unknown	NA	NA	26
rnd-6_family-3693	LTR	ERVL	NA	26
rnd-6_family-3208	LINE	CR1	NA	26
rnd-6_family-3726	LTR	ERVL	NA	26
rnd-6_family-15136	LTR	ERVL	NA	26
rnd-6_family-373	DNA	NA	NA	26
rnd-6_family-388	Unknown	NA	NA	26
rnd-6_family-3213	Unknown	NA	NA	26
rnd-6_family-4015	Unknown	NA	NA	26
rnd-6_family-3432	Unknown	NA	NA	25
rnd-6_family-8342	Unknown	NA	NA	25
rnd-6_family-6009	LTR	ERVK	NA	25
rnd-6_family-6565	LTR	ERV1	NA	25
rnd-6_family-3851	LTR	ERV1	NA	25
rnd-6_family-5408	LTR	ERVL	NA	25
rnd-6_family-2380	LTR	ERV1	NA	24
rnd-6_family-7896	Unknown	NA	NA	24
rnd-6_family-3233	Unknown	NA	NA	24
rnd-6_family-7339	LTR	ERVL	NA	24
rnd-6_family-953	LTR	ERV1	NA	24
rnd-6_family-6391	LINE	CR1	NA	24
rnd-6_family-16286	DNA	hAT	NA	23
rnd-6_family-805	Unknown	NA	NA	23
rnd-6_family-4882	LTR	ERVK	NA	23
rnd-6_family-13998	LTR	ERV1	NA	23
rnd-6_family-1405	Unknown	NA	NA	23
rnd-6_family-2560	Unknown	NA	NA	23
rnd-6_family-15697	LINE	CR1	NA	23
rnd-6_family-188	Unknown	NA	NA	23
rnd-6_family-4821	Unknown	NA	NA	23
rnd-6_family-9920	Unknown	NA	NA	23
rnd-6_family-11926	LTR	ERVL	NA	23
rnd-6_family-481	LTR	ERVK	NA	22
rnd-6_family-3364	LINE	CR1	NA	22
rnd-6_family-4368	Unknown	NA	NA	22
rnd-6_family-3627	Unknown	NA	NA	22
rnd-6_family-1974	LTR	ERVL	NA	22
rnd-6_family-8273	DNA	CMC	NA	22
rnd-6_family-121	LINE	CR1	NA	22
rnd-6_family-139	LTR	ERVL	NA	22
rnd-6_family-6363	Unknown	NA	NA	22
rnd-6_family-1483	Unknown	NA	NA	22
rnd-6_family-3606	LINE	CR1	NA	22
rnd-6_family-13140	Unknown	NA	NA	21
rnd-6_family-5341	Unknown	NA	NA	21
rnd-6_family-4535	Unknown	NA	NA	21
rnd-6_family-3468	Unknown	NA	NA	21
rnd-6_family-9815	LINE	CR1	NA	21
rnd-6_family-380	LTR	ERVL	NA	21
rnd-6_family-3855	LTR	ERV1	NA	21
rnd-6_family-5481	LINE	CR1	NA	21
rnd-6_family-4486	DNA	NA	NA	20
rnd-6_family-8454	LTR	ERV1	NA	20
rnd-6_family-2431	Unknown	NA	NA	20
rnd-6_family-9632	Unknown	NA	NA	20
rnd-6_family-2366	LTR	ERVL	NA	20
rnd-6_family-3125	DNA	CMC	NA	20
rnd-6_family-6659	LTR	ERVL	NA	20
rnd-6_family-9351	LTR	ERV1	NA	20
rnd-6_family-27	Unknown	NA	NA	19
rnd-6_family-6797	LTR	ERVL	NA	19
rnd-6_family-3774	LINE	CR1	NA	19
rnd-6_family-3124	LTR	ERVK	NA	19
rnd-6_family-9311	Unknown	NA	NA	19
rnd-6_family-13477	LINE	CR1	NA	19
rnd-6_family-16651	LTR	ERVK	NA	19
rnd-6_family-3378	LINE	CR1	NA	19
rnd-6_family-13169	Unknown	NA	NA	19
rnd-6_family-10864	Unknown	NA	NA	19
rnd-6_family-3752	LINE	CR1	NA	19
